np,model,topo,radix,spread_mode,spread_avg,off-fail,on-fail,runs,min_steps,max_steps,steps_avg,min_in_spread,max_in_spread,in_spread_avg,min_out_spread,max_out_spread,out_spread_avg,min_msgs,max_msgs,msgs_avg,min_data,max_data,data_avg,min_queue,max_queue,queue_avg,min_dead,max_dead,dead_avg
32,0,3,9,0,0,0.00,0.00,1,47,47,47.00,0,0,0.00,12,12,12.00,151,151,151.00,1362,1362,1362.00,6,6,6.00,0,0,0.00
32,0,3,10,0,0,0.00,0.00,1,48,48,48.00,0,0,0.00,12,12,12.00,169,169,169.00,1463,1463,1463.00,9,9,9.00,0,0,0.00
32,0,3,11,0,0,0.00,0.00,1,47,47,47.00,0,0,0.00,12,12,12.00,172,172,172.00,1335,1335,1335.00,2,2,2.00,0,0,0.00
32,0,3,12,0,0,0.00,0.00,1,48,48,48.00,0,0,0.00,12,12,12.00,187,187,187.00,1384,1384,1384.00,5,5,5.00,0,0,0.00
32,0,3,13,0,0,0.00,0.00,1,50,50,50.00,0,0,0.00,13,13,13.00,206,206,206.00,1395,1395,1395.00,3,3,3.00,0,0,0.00
32,0,3,14,0,0,0.00,0.00,1,52,52,52.00,0,0,0.00,13,13,13.00,230,230,230.00,1394,1394,1394.00,4,4,4.00,0,0,0.00
32,0,3,15,0,0,0.00,0.00,1,54,54,54.00,0,0,0.00,13,13,13.00,256,256,256.00,1393,1393,1393.00,5,5,5.00,0,0,0.00
32,0,3,16,0,0,0.00,0.00,1,54,54,54.00,0,0,0.00,11,11,11.00,284,284,284.00,1392,1392,1392.00,5,5,5.00,0,0,0.00
32,0,3,17,0,0,0.00,0.00,1,56,56,56.00,0,0,0.00,17,17,17.00,316,316,316.00,1439,1439,1439.00,8,8,8.00,0,0,0.00
32,0,3,18,0,0,0.00,0.00,1,58,58,58.00,0,0,0.00,18,18,18.00,353,353,353.00,1457,1457,1457.00,11,11,11.00,0,0,0.00
32,0,3,19,0,0,0.00,0.00,1,60,60,60.00,0,0,0.00,19,19,19.00,396,396,396.00,1507,1507,1507.00,14,14,14.00,0,0,0.00
32,0,3,20,0,0,0.00,0.00,1,62,62,62.00,0,0,0.00,20,20,20.00,439,439,439.00,1561,1561,1561.00,17,17,17.00,0,0,0.00
